ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.199715310032133075e+01,1.200040306823271976e+02,0.000000000000000000e+00,7.071067819818209088e+00,7.071067803912741923e+00,0.000000000000000000e+00
3.199715947715823816e+01,1.200040381652507335e+02,0.000000000000000000e+00,7.071067814638642979e+00,7.071067809092307144e+00,0.000000000000000000e+00
3.199716585399513846e+01,1.200040456481748095e+02,0.000000000000000000e+00,7.071067812832642296e+00,7.071067810898309602e+00,0.000000000000000000e+00
3.199717223083203521e+01,1.200040531310993686e+02,0.000000000000000000e+00,7.071067812202933567e+00,7.071067811528016556e+00,0.000000000000000000e+00
3.199717860766892130e+01,1.200040606140244961e+02,0.000000000000000000e+00,7.071067811983353657e+00,7.071067811747596465e+00,0.000000000000000000e+00
3.199718498450579673e+01,1.200040680969500926e+02,0.000000000000000000e+00,7.071067811906796230e+00,7.071067811824153893e+00,0.000000000000000000e+00
3.199719136134267217e+01,1.200040755798762291e+02,0.000000000000000000e+00,7.071067811880098475e+00,7.071067811850852536e+00,0.000000000000000000e+00
3.199719773817954049e+01,1.200040830628029056e+02,0.000000000000000000e+00,7.071067811870790365e+00,7.071067811860159757e+00,0.000000000000000000e+00
3.199720411501639461e+01,1.200040905457300653e+02,0.000000000000000000e+00,7.071067811867549402e+00,7.071067811863400721e+00,0.000000000000000000e+00
3.199721049185325228e+01,1.200040980286577792e+02,0.000000000000000000e+00,7.071067811866419639e+00,7.071067811864530483e+00,0.000000000000000000e+00
3.199721686869010284e+01,1.200041055115859763e+02,0.000000000000000000e+00,7.071067811866017294e+00,7.071067811864932828e+00,0.000000000000000000e+00
3.199722324552693919e+01,1.200041129945147134e+02,0.000000000000000000e+00,7.071067811865885844e+00,7.071067811865065167e+00,0.000000000000000000e+00
3.199722962236377555e+01,1.200041204774439478e+02,0.000000000000000000e+00,7.071067811865829000e+00,7.071067811865122010e+00,0.000000000000000000e+00
3.199723599920060479e+01,1.200041279603737081e+02,0.000000000000000000e+00,7.071067811865829000e+00,7.071067811865122010e+00,0.000000000000000000e+00
