ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
8.968727492313137262e+00,-4.422886746077331566e+00,0.000000000000000000e+00
8.980275826525716099e+00,-4.399391557876825232e+00,0.000000000000000000e+00
8.991762611776820791e+00,-4.375866215214137434e+00,0.000000000000000000e+00
9.003187769249361594e+00,-4.352310879479856176e+00,0.000000000000000000e+00
9.014551220557789790e+00,-4.328725712255288904e+00,0.000000000000000000e+00
9.025852887747685571e+00,-4.305110875312825769e+00,0.000000000000000000e+00
9.037092693295436518e+00,-4.281466530616143906e+00,0.000000000000000000e+00
9.048270560108006677e+00,-4.257792840320291816e+00,0.000000000000000000e+00
9.059386411522787341e+00,-4.234089966771640512e+00,0.000000000000000000e+00
9.070440171307495802e+00,-4.210358072507759175e+00,0.000000000000000000e+00
9.081431763660162915e+00,-4.186597320257139820e+00,0.000000000000000000e+00
9.092361113209152634e+00,-4.162807872938890874e+00,0.000000000000000000e+00
9.103228145013241956e+00,-4.138989893662315289e+00,0.000000000000000000e+00
9.114032784561722167e+00,-4.115143545726452246e+00,0.000000000000000000e+00
9.124774957774583584e+00,-4.091268992619508715e+00,0.000000000000000000e+00
9.135454591002677205e+00,-4.067366398018270601e+00,0.000000000000000000e+00
9.146071611027950965e+00,-4.043435925787448149e+00,0.000000000000000000e+00
9.156625945063694871e+00,-4.019477739978963626e+00,0.000000000000000000e+00
9.167117520754811011e+00,-3.995492004831218136e+00,0.000000000000000000e+00
9.177546266178097767e+00,-3.971478884768300244e+00,0.000000000000000000e+00
9.187912109842566011e+00,-3.947438544399182181e+00,0.000000000000000000e+00
9.198214980689762399e+00,-3.923371148516849871e+00,0.000000000000000000e+00
9.208454808094108657e+00,-3.899276862097443175e+00,0.000000000000000000e+00
9.218631521863256850e+00,-3.875155850299333959e+00,0.000000000000000000e+00
9.228745052238441104e+00,-3.851008278462213497e+00,0.000000000000000000e+00
9.238795329894868402e+00,-3.826834312106126124e+00,0.000000000000000000e+00
9.248782285942080961e+00,-3.802634116930523778e+00,0.000000000000000000e+00
9.258705851924350583e+00,-3.778407858813255693e+00,0.000000000000000000e+00
9.268565959821080114e+00,-3.754155703809571420e+00,0.000000000000000000e+00
9.278362542047181805e+00,-3.729877818151121183e+00,0.000000000000000000e+00
9.288095531453492981e+00,-3.705574368244909600e+00,0.000000000000000000e+00
9.297764861327182828e+00,-3.681245520672249416e+00,0.000000000000000000e+00
9.307370465392155623e+00,-3.656891442187721442e+00,0.000000000000000000e+00
9.316912277809461074e+00,-3.632512299718106963e+00,0.000000000000000000e+00
9.326390233177701106e+00,-3.608108260361317932e+00,0.000000000000000000e+00
9.335804266533457962e+00,-3.583679491385311611e+00,0.000000000000000000e+00
9.345154313351693887e+00,-3.559226160226997671e+00,0.000000000000000000e+00
9.354440309546170340e+00,-3.534748434491165270e+00,0.000000000000000000e+00
9.363662191469865448e+00,-3.510246481949346187e+00,0.000000000000000000e+00
9.372819895915373678e+00,-3.485720470538755222e+00,0.000000000000000000e+00
9.381913360115337497e+00,-3.461170568361135125e+00,0.000000000000000000e+00
9.390942521742847049e+00,-3.436596943681653027e+00,0.000000000000000000e+00
9.399907318911857601e+00,-3.411999764927789336e+00,0.000000000000000000e+00
9.408807690177589222e+00,-3.387379200688204861e+00,0.000000000000000000e+00
9.417643574536944229e+00,-3.362735419711608387e+00,0.000000000000000000e+00
9.426414911428913967e+00,-3.338068590905616251e+00,0.000000000000000000e+00
9.435121640734976722e+00,-3.313378883335636349e+00,0.000000000000000000e+00
9.443763702779508051e+00,-3.288666466223699736e+00,0.000000000000000000e+00
9.452341038330169809e+00,-3.263931508947349069e+00,0.000000000000000000e+00
9.460853588598325814e+00,-3.239174181038460443e+00,0.000000000000000000e+00
9.469301295239420213e+00,-3.214394652182122947e+00,0.000000000000000000e+00
9.477684100353382490e+00,-3.189593092215476933e+00,0.000000000000000000e+00
9.486001946485016489e+00,-3.164769671126554496e+00,0.000000000000000000e+00
9.494254776624387659e+00,-3.139924559053131503e+00,0.000000000000000000e+00
9.502442534207210301e+00,-3.115057926281572520e+00,0.000000000000000000e+00
9.510565163115231258e+00,-3.090169943245667739e+00,0.000000000000000000e+00
9.518622607676617164e+00,-3.065260780525465911e+00,0.000000000000000000e+00
9.526614812666316823e+00,-3.040330608846133043e+00,0.000000000000000000e+00
9.534541723306457328e+00,-3.015379599076759121e+00,0.000000000000000000e+00
9.542403285266701118e+00,-2.990407922229217252e+00,0.000000000000000000e+00
9.550199444664622561e+00,-2.965415749456981942e+00,0.000000000000000000e+00
9.557930148066077436e+00,-2.940403252053970906e+00,0.000000000000000000e+00
9.565595342485563535e+00,-2.915370601453354027e+00,0.000000000000000000e+00
9.573194975386581262e+00,-2.890317969226415151e+00,0.000000000000000000e+00
9.580728994681996014e+00,-2.865245527081356158e+00,0.000000000000000000e+00
9.588197348734391667e+00,-2.840153446862119235e+00,0.000000000000000000e+00
9.595599986356425859e+00,-2.815041900547230025e+00,0.000000000000000000e+00
9.602936856811174593e+00,-2.789911060248606578e+00,0.000000000000000000e+00
9.610207909812487515e+00,-2.764761098210388734e+00,0.000000000000000000e+00
9.617413095525318312e+00,-2.739592186807759511e+00,0.000000000000000000e+00
9.624552364566083540e+00,-2.714404498545752276e+00,0.000000000000000000e+00
9.631625668002982366e+00,-2.689198206058096119e+00,0.000000000000000000e+00
9.638632957356348285e+00,-2.663973482106006152e+00,0.000000000000000000e+00
9.645574184598967094e+00,-2.638730499577016886e+00,0.000000000000000000e+00
9.652449302156409061e+00,-2.613469431483803174e+00,0.000000000000000000e+00
9.659258262907359338e+00,-2.588190450962973621e+00,0.000000000000000000e+00
9.666001020183935921e+00,-2.562893731273914621e+00,0.000000000000000000e+00
9.672677527772012951e+00,-2.537579445797569111e+00,0.000000000000000000e+00
