gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.199708128163057097e+01,1.200040518173264275e+02,9.022839974354953441e+00,7.066632019780381135e+00,7.209742042698993103e+00,5.795432125504230980e-02
3.199710564708220772e+01,1.200040034277857899e+02,1.911050511258286377e+01,7.103603247850817759e+00,7.066964579626696441e+00,4.377549010152967379e-02
3.199707014029344521e+01,1.200039422734113259e+02,-3.571468422296663725e+00,7.025089995188182890e+00,7.184361724470788246e+00,-3.111557295331263129e-02
3.199711365539139862e+01,1.200040194562021583e+02,3.251595018476819643e+00,7.052003083255366178e+00,7.059831171983615761e+00,7.497271341535893981e-03
3.199717142702712636e+01,1.200041219965197428e+02,3.177406411322989843e+00,7.136866677275229165e+00,7.059143729065524120e+00,1.196922721394279646e-02
3.199710415229224125e+01,1.200040627363587333e+02,7.801362961534988649e+00,7.003140451126049548e+00,7.119225789165485097e+00,3.743191810748664611e-02
3.199714704271750065e+01,1.200039900389818115e+02,1.025350748624657277e-02,7.023376704881717281e+00,7.027201094767172584e+00,5.114702088130316376e-02
3.199719145575276258e+01,1.200040575782667815e+02,2.944990919185374589e-01,7.141323241581266856e+00,7.072249766694747031e+00,1.229989737962047802e-02
3.199713037296086426e+01,1.200040919776318589e+02,5.189199183264637805e-01,7.113827938526078754e+00,7.022054775926736880e+00,6.445060683939005108e-02
3.199714447914695370e+01,1.200040327786693553e+02,3.818286990224331046e-01,7.035122859394265404e+00,7.048656131329193109e+00,3.944046078561018465e-02
3.199709633148129484e+01,1.200041145200645758e+02,9.211542462948607124e+00,7.144203956168580838e+00,7.109703482199221547e+00,1.429169756975599836e-02
3.199720260498961011e+01,1.200042135572639239e+02,6.624854256075761505e+00,6.923605211502144030e+00,7.125794944476294468e+00,-8.811280004522681342e-02
3.199717376225962795e+01,1.200039920391063504e+02,-9.297960326823039523e+00,7.031023085972794462e+00,6.994691810975260715e+00,-1.760748655902157414e-02
3.199721934364562870e+01,1.200040882564840530e+02,-3.178931915243244255e+00,7.055229986408113163e+00,7.021437596330920350e+00,4.263695408148204802e-02
3.199718407913866614e+01,1.200041196193652837e+02,3.963171283755679397e+00,7.087493416791950551e+00,7.039895256852416239e+00,2.355929799203110644e-02
3.199720839583596899e+01,1.200040064275668783e+02,-6.687887587703836845e-01,7.090109433730770405e+00,7.086806301940885788e+00,-6.502547067094470619e-03
3.199719739905473403e+01,1.200041085357915165e+02,7.999767583014454342e-01,7.037996591308558259e+00,7.082392556503391390e+00,-9.011447288548257023e-03
3.199717147281478802e+01,1.200040978607475921e+02,-5.926795574200196981e+00,7.220255330329211851e+00,7.085688438005496970e+00,-1.964253934777368191e-02
3.199726227732595518e+01,1.200041332608752782e+02,3.364516282063076402e-01,7.103308887039635700e+00,7.120596017551514834e+00,-6.874501448809754167e-02
3.199722299483573451e+01,1.200042087589066000e+02,-6.806579303465060127e-01,7.163804082582183597e+00,7.079591262888474290e+00,6.895728654476916686e-02
3.199722463659086813e+01,1.200041827134073316e+02,-4.250202372361285619e+00,7.115703629165259336e+00,7.117498443697171773e+00,8.948385665542245987e-03
3.199724131841538721e+01,1.200040355476339471e+02,-2.449115549814889992e+00,7.022477773630680709e+00,7.062452177973334244e+00,-4.102542814665912502e-02
