accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
4.426172133245610645e-03,1.226271397700320342e+00,-9.787925443996092767e+00
4.198035208698196012e-03,1.360179366265933387e+00,-9.788434731982281534e+00
1.756193360754376752e-03,1.493407269457941666e+00,-9.784338174463414362e+00
-2.887768952064526367e-03,1.602500371954354907e+00,-9.791231441737478391e+00
-1.287784904524146489e-03,1.709315626083047990e+00,-9.796881970429152986e+00
6.518951888569352038e-03,1.799393791587655222e+00,-9.796845710628462101e+00
2.671147773724624752e-03,1.879798668350873836e+00,-9.805288849646236926e+00
-4.968977536663776208e-03,1.950185026768676222e+00,-9.794876918873478999e+00
-3.311012678379668525e-04,2.019791581865787222e+00,-9.799081897910525640e+00
-2.284239546517242026e-03,2.085322980153700989e+00,-9.799330543550373918e+00
-2.204921707923022164e-03,2.126848721528312947e+00,-9.796149746110591749e+00
-7.011606708394502868e-03,2.182106105617147129e+00,-9.791763689751345368e+00
7.824161499169717329e-03,2.217337493393494618e+00,-9.809556721621058628e+00
3.579222281569843355e-03,2.267343852824711181e+00,-9.800423727813203811e+00
-3.686076241534648988e-03,2.302286050184944255e+00,-9.792609606641363484e+00
-1.394450794200718198e-03,2.338763987943551559e+00,-9.795351945598495647e+00
5.150941192185175786e-03,2.359999195104753422e+00,-9.798253930321832783e+00
4.800612582223463994e-03,2.389279161593988565e+00,-9.803853551331142668e+00
-1.996105558854256896e-03,2.409570720407634870e+00,-9.785095313915034509e+00
4.098727372683808761e-04,2.425340228539046628e+00,-9.801646693865540882e+00
-6.336531765805599771e-03,2.452992688061309323e+00,-9.798182481820669310e+00
-1.731037385391018084e-03,2.466662485763408075e+00,-9.798767679690929100e+00
6.496270480776474357e-03,2.473019354897985966e+00,-9.798985721467001753e+00
1.263116955616878272e-03,2.483545280595162108e+00,-9.794113766506603369e+00
-1.044750726806318621e-02,2.507235967164193280e+00,-9.797057887166152668e+00
-2.405609685022061170e-03,2.521495621223651007e+00,-9.792823626955090788e+00
4.217902738275036527e-03,2.520754772088915185e+00,-9.803359365338327081e+00
-2.692397460574833500e-03,2.532374493883143618e+00,-9.799180542203473010e+00
-2.348174938239763841e-03,2.543214068854449117e+00,-9.792432810777187413e+00
1.937745304613598500e-03,2.547556111822346203e+00,-9.794455448845550194e+00
4.554788260659878817e-03,2.560402963012281763e+00,-9.795401934064097205e+00
-4.378330039557717067e-03,2.555481254557889326e+00,-9.796462745266127925e+00
5.209481529033402336e-03,2.570092399801252370e+00,-9.798656586190331197e+00
3.194307318221005932e-03,2.577335870039934473e+00,-9.803164866798494970e+00
-4.719827389772638868e-03,2.581844610657096251e+00,-9.803274616049909795e+00
-1.845183927756085954e-03,2.586744074393515724e+00,-9.792787281749159689e+00
-4.320142409233366718e-03,2.589469700393058460e+00,-9.788384820393101649e+00
-1.143441316457530135e-03,2.589274265696098087e+00,-9.802231895501622105e+00
-1.122313241452995748e-02,2.596750959178069973e+00,-9.799282808432820957e+00
5.099499712034708497e-03,2.594803082673147632e+00,-9.793279108367373809e+00
3.088995461357569097e-03,2.598635079989347840e+00,-9.792758603082928559e+00
6.691481390609561181e-03,2.589157788683580375e+00,-9.795412019744649257e+00
-3.348544688272236253e-03,2.602888764101754848e+00,-9.804391701596481212e+00
-5.696815167945143074e-03,2.598175349470819295e+00,-9.796963696166322677e+00
1.649976631796631985e-03,2.606861122872321523e+00,-9.796939052414632698e+00
2.325089549186822990e-03,2.603487801953272118e+00,-9.794382327036901259e+00
7.397340538123767413e-03,2.604118757698861586e+00,-9.799564528409524300e+00
3.468095510212536314e-03,2.609921459748305139e+00,-9.795221354848500539e+00
-4.380891071579262087e-03,2.603217908341524556e+00,-9.791688853059794084e+00
-5.921629315133024145e-03,2.609741552869683456e+00,-9.790575648857270608e+00
-8.867948609210267799e-03,2.603562630960084778e+00,-9.796615471781542794e+00
-5.301772538119194772e-03,2.609546615210187603e+00,-9.792839115786197368e+00
-4.422252631359069840e-03,2.615361743978128484e+00,-9.797063401632202684e+00
2.489231438037827534e-03,2.614370923280610270e+00,-9.806078129548700062e+00
3.915872705407848382e-03,2.607303385406301910e+00,-9.790363126993320009e+00
9.236444417886548186e-03,2.617709571221631393e+00,-9.797418660466506779e+00
-6.759331235311919839e-04,2.610004200389171469e+00,-9.787672056770739815e+00
-2.661931043539796093e-03,2.617991162589332177e+00,-9.788877393150670514e+00
-4.685451003851490506e-03,2.615118102269158751e+00,-9.794653795910750915e+00
-1.726879097454559354e-03,2.611763964220153333e+00,-9.797604656866337081e+00
-1.734389362859472747e-03,2.615584695128402970e+00,-9.789001891030506997e+00
-1.071500924619107377e-03,2.615219988041221910e+00,-9.796200329106239835e+00
-7.201896698942601878e-03,2.615291952276975973e+00,-9.788438715720344518e+00
-3.027687226476669709e-03,2.616909016047888059e+00,-9.789725595235443834e+00
-2.764550878842619939e-03,2.619176609654191523e+00,-9.787498650254280008e+00
-1.169425760651452827e-03,2.612449262375978964e+00,-9.800750037391640745e+00
-3.846472974614870231e-03,2.619501712518616188e+00,-9.798279212625525147e+00
3.046470379561080823e-03,2.613619314149373096e+00,-9.793134778508170157e+00
1.217069792588208396e-02,2.614141380684896543e+00,-9.798018844600544952e+00
-5.988265259784226677e-03,2.613286061259064486e+00,-9.806455662508273718e+00
3.596925609744926807e-03,2.608656603576746225e+00,-9.788725156497337210e+00
4.088967587113487485e-04,2.614093743111664647e+00,-9.802166004388901399e+00
-9.746501466609526487e-03,2.616105006574235059e+00,-9.789674057630884718e+00
3.316784164800064359e-03,2.610160473657573643e+00,-9.790453293071376351e+00
-3.837933252984601553e-03,2.615746592858217312e+00,-9.800431732597566281e+00
4.965683046914469954e-03,2.616344190563178795e+00,-9.803660557969143596e+00
5.902634652345502622e-03,2.617066785690430386e+00,-9.789749642821000464e+00
-3.589884541032447793e-03,2.620354667229112255e+00,-9.787544378733707973e+00
3.522490882770689096e-03,2.618910090010278413e+00,-9.783344953168120028e+00
-5.182484113138679203e-03,2.611367690093497895e+00,-9.798698689328700695e+00
5.087839606881978949e-03,2.620438021211342061e+00,-9.791611075677161935e+00
-2.541256669828633082e-03,2.608081878885678329e+00,-9.795356940619790009e+00
-3.427054866994540955e-03,2.624325829815045363e+00,-9.796443274019388525e+00
-1.377611757101624389e-03,2.620639793184545319e+00,-9.784937102897046657e+00
2.368134338666949557e-03,2.619736052323576647e+00,-9.797916535673607541e+00
1.383735625025891156e-03,2.619312470926091763e+00,-9.796095122573204250e+00
-2.630807065207936904e-03,2.623708027733099968e+00,-9.784577747516621571e+00
-5.302820679899126338e-03,2.614944086908135290e+00,-9.796149342450465980e+00
-3.279197088197237462e-03,2.620125681866189993e+00,-9.789599146281666719e+00
2.979949193419457933e-03,2.616252790221003099e+00,-9.794169615322177336e+00
-4.352591724120727194e-03,2.616128625720393508e+00,-9.788105553306014173e+00
5.991203527807502198e-03,2.620132162860763003e+00,-9.790476830409884812e+00
3.854802733577596726e-03,2.612698283452469461e+00,-9.797618633210806394e+00
-1.211224949629729868e-02,2.616845644982197072e+00,-9.800106167764553788e+00
-1.253702967173733231e-03,2.618164470360699880e+00,-9.787178525075388436e+00
-1.997283385301355362e-03,2.617207362621574163e+00,-9.799198885333549214e+00
-8.287071661016165707e-05,2.614963665830067452e+00,-9.793463825602925610e+00
1.406272492278401931e-03,2.628828758715505920e+00,-9.801637135447368365e+00
1.839862633836005868e-03,2.627100019361499061e+00,-9.796910641583542301e+00
3.550191181126472612e-03,2.616636872624929833e+00,-9.786501512050518770e+00
2.501421090212678239e-03,2.621130449184962075e+00,-9.794571019636943987e+00
5.696647264342336210e-03,2.614281186401073320e+00,-9.789180088970699245e+00
8.240182531837078259e-03,2.621227405012804823e+00,-9.790628814217546605e+00
8.006349047376731722e-04,2.614623685736357839e+00,-9.792356765918519557e+00
-8.639582687714624648e-03,2.625115706871168797e+00,-9.797886763589037429e+00
-7.484824557363532228e-03,2.624381655814159053e+00,-9.794218485439033728e+00
-1.098959116199344681e-03,2.615782763639757036e+00,-9.802651294314351560e+00
-6.918115035975541845e-03,2.623811562419207544e+00,-9.798068708388674608e+00
6.284011588593672003e-03,2.613242728326904629e+00,-9.802560797325929443e+00
1.015690128762667711e-02,2.619518666123639594e+00,-9.799257708595595417e+00
-2.376488568116743270e-03,2.608205478043094772e+00,-9.808635255229942729e+00
-3.819756880825646143e-04,2.622039252437487367e+00,-9.805314438508018426e+00
3.633192089442030537e-03,2.620910751481004830e+00,-9.791104164296726253e+00
-2.587914881590727256e-03,2.616864247054486725e+00,-9.798997111736147403e+00
-3.845112780433610454e-03,2.609482686591241940e+00,-9.795403911459581892e+00
4.771431257766481360e-03,2.621777510089192909e+00,-9.789329081092935425e+00
1.152974912956393483e-02,2.615267787881084605e+00,-9.793537733196778561e+00
5.324447852891604945e-03,2.624356294484858854e+00,-9.794483653437906057e+00
-7.909240613920867592e-04,2.620045548450057105e+00,-9.795978134980479979e+00
-3.525545837669163789e-03,2.622166383058952999e+00,-9.792825277403869322e+00
4.119043239749165149e-03,2.616972463148826922e+00,-9.789188730703552110e+00
1.001087690456589976e-02,2.609416885246330420e+00,-9.797043023563855257e+00
6.008192572343853607e-03,2.606503573269750795e+00,-9.786496608652234031e+00
3.651415452424869139e-03,2.620994757759410376e+00,-9.797196761244945762e+00
1.291638791637459045e-03,2.614732841544775255e+00,-9.793527575010459785e+00
1.741312477676039633e-03,2.621103157097733227e+00,-9.802067887932217616e+00
1.543347590332634287e-02,2.619798891557329590e+00,-9.803204713486019628e+00
4.763092236321958550e-03,2.610844910542258202e+00,-9.788697574913774346e+00
6.728787804284461910e-03,2.623684590111178050e+00,-9.794748546923162991e+00
-6.369002337227258614e-03,2.621404054410668927e+00,-9.789208012579376117e+00
8.917583831881525230e-04,2.619481440139617145e+00,-9.793072667759798122e+00
-6.829079809912882472e-03,2.615857433024181056e+00,-9.789449150596203353e+00
-8.932723299432851830e-03,2.623741216111068031e+00,-9.800874189216647991e+00
9.222706677868824227e-04,2.613759397285040365e+00,-9.796333454062828849e+00
3.006165890564163525e-03,2.620813141122911638e+00,-9.796707406499651327e+00
2.019876843444011558e-03,2.609840718283579886e+00,-9.791992292186469271e+00
-1.454481549383060835e-03,2.613709123774637266e+00,-9.805735325662183755e+00
1.233568629408713290e-03,2.620215590796489025e+00,-9.799405755370948157e+00
-3.290647893521092895e-04,2.615957751967879830e+00,-9.801714269290750181e+00
1.838007767128170891e-03,2.623455748980266122e+00,-9.790334775986044846e+00
7.502721529855509684e-03,2.623649153789743504e+00,-9.800968254773268384e+00
2.695749324304610398e-03,2.623984432526432098e+00,-9.795326134374731097e+00
-6.531157064351433145e-03,2.620565080198112629e+00,-9.793736091362653440e+00
-2.404616311053152519e-04,2.615944279600754374e+00,-9.793097577626904027e+00
1.483759451264019934e-03,2.609345452663494047e+00,-9.795169494515084452e+00
-5.538743086025480628e-03,2.614852015660920515e+00,-9.797237133926948616e+00
-3.061071235543269629e-03,2.619724159907822703e+00,-9.803123437361863424e+00
-1.595762612535131910e-03,2.620634742351044544e+00,-9.798268060561417414e+00
-7.832607113701603799e-03,2.623772627621030473e+00,-9.793272191955924910e+00
-2.621084044570021806e-03,2.615573194606026775e+00,-9.797497537121932609e+00
-8.332408735038532993e-04,2.624302978036654466e+00,-9.800807290428235063e+00
2.469035015384207429e-03,2.611583664292602691e+00,-9.792753101231276958e+00
