mag_x (uT),mag_y (uT),mag_z (uT)
3.152511308000495305e+01,8.875524987619801465e+00,3.754030114000460827e+01
3.156148806725789768e+01,8.797341651469155366e+00,3.753710136858460089e+01
3.160646862130423784e+01,8.698155245213305520e+00,3.753624134248375555e+01
3.162288338361670270e+01,8.639560174608558185e+00,3.752215738442786375e+01
3.165114089280239185e+01,8.545956259163016711e+00,3.753104134571358941e+01
3.166735914725845191e+01,8.447951571034037599e+00,3.753736779596810891e+01
3.168359927707770041e+01,8.378214505379338206e+00,3.753249526696856719e+01
3.170463458467430584e+01,8.309269426739810172e+00,3.752641631113701237e+01
3.171274071893967417e+01,8.211208472441471784e+00,3.753522029717326802e+01
3.175056255869982280e+01,8.123819747383130618e+00,3.753659467701218233e+01
3.177181718836439472e+01,8.034551307101436279e+00,3.752387217972555788e+01
3.178436334083906090e+01,7.955614921927735672e+00,3.753260193962101710e+01
3.180194028921211213e+01,7.895501881856042736e+00,3.751463709862298401e+01
3.183758619514974342e+01,7.814928786418779971e+00,3.755376838972307496e+01
3.186181009249223806e+01,7.711149239865571658e+00,3.754601991258731175e+01
3.187065872310265746e+01,7.618811096706765262e+00,3.752679181372308648e+01
3.188192793143613102e+01,7.547836118543634676e+00,3.752788097280306800e+01
3.189971573819136452e+01,7.461418775816508031e+00,3.753258532956215276e+01
3.192594556946725959e+01,7.384035439809462531e+00,3.753412296417575078e+01
3.195865061754473757e+01,7.294605148706631681e+00,3.751877650755530169e+01
3.196045560078130521e+01,7.215388931549848728e+00,3.752981785870084508e+01
3.198900431036310010e+01,7.138985370750970283e+00,3.753456269277822344e+01
3.200335205371725067e+01,7.044509675396504633e+00,3.753325660914762807e+01
3.202920361094847834e+01,6.949141907324750456e+00,3.752757348071574484e+01
3.204157090586944179e+01,6.886284120134797071e+00,3.753781899539100664e+01
3.205945635931507098e+01,6.794842372259012109e+00,3.752215310930601788e+01
3.209169018716349342e+01,6.712210086530860487e+00,3.753874656228700246e+01
3.210206144599763434e+01,6.631245595676473314e+00,3.752508774988785945e+01
3.212332377396477767e+01,6.535187171533901385e+00,3.753401736519418108e+01
3.211952039114865443e+01,6.439818026181448829e+00,3.753651680459191198e+01
3.216165073219325876e+01,6.370324923687523899e+00,3.753082867829309777e+01
3.216958140177961667e+01,6.258953160173760466e+00,3.752772502790069353e+01
3.219000136976176663e+01,6.214869082768990971e+00,3.752768519571561256e+01
3.220041771267144526e+01,6.116275778316806466e+00,3.754456186993063938e+01
3.222187969329273471e+01,6.037610277043733653e+00,3.752670440460941137e+01
3.221830811842846742e+01,5.935696928500393987e+00,3.752741728231244167e+01
3.226155168591015610e+01,5.862747353705040965e+00,3.752375306449614101e+01
3.226259711004870923e+01,5.797664189871621687e+00,3.755213309782262598e+01
3.228503143644231699e+01,5.696160545831791211e+00,3.753573022113229740e+01
3.229402801326453698e+01,5.622427281583370018e+00,3.753910240834095902e+01
3.229515579490747257e+01,5.549746911002861438e+00,3.755238303769494479e+01
3.232100250248436879e+01,5.442915255789650075e+00,3.754587533500123442e+01
3.234534460252953636e+01,5.365117059929847443e+00,3.753806934968206832e+01
3.233951770999171060e+01,5.269630145110607344e+00,3.754297572202981570e+01
3.235082937134782100e+01,5.182349042902083980e+00,3.752607203125018742e+01
3.235944533968551440e+01,5.103018275286729910e+00,3.752436575367406846e+01
3.238074191827169557e+01,5.029199759685420545e+00,3.750555648073310522e+01
3.239557421061036990e+01,4.949912654585088667e+00,3.751936465813628274e+01
3.240609161225553692e+01,4.859759989850577000e+00,3.751641390849892588e+01
3.243921441341146306e+01,4.752841372343072912e+00,3.751695387318464725e+01
3.244679370112709194e+01,4.669968698895123893e+00,3.752867891695853331e+01
3.243972132141921350e+01,4.599905192848582125e+00,3.751963919194104591e+01
3.245072893596015717e+01,4.498743149471504665e+00,3.754556374950148268e+01
3.247442010279280566e+01,4.427354475939792700e+00,3.753692108910769321e+01
3.247984927987760528e+01,4.321083784077770495e+00,3.753947961495110519e+01
3.250295787676262194e+01,4.254715017564462798e+00,3.753372375325077570e+01
3.249551610141273983e+01,4.168224214687431761e+00,3.753946069851663481e+01
3.251756866988592520e+01,4.097195075538268227e+00,3.754388784646932464e+01
3.252877817718944442e+01,3.999394252267082894e+00,3.752953818454474799e+01
3.254731538987198292e+01,3.920316298831686197e+00,3.752933307172744293e+01
3.254917787836070886e+01,3.829340297408946991e+00,3.751288138295193164e+01
3.255912085671411660e+01,3.764856947377125174e+00,3.751186921646706196e+01
3.257801499868929795e+01,3.667266816168301968e+00,3.752410158751992952e+01
3.260667871476172763e+01,3.564037981412491618e+00,3.753083486426549342e+01
3.259522876142808911e+01,3.492136287003002160e+00,3.752825751650065911e+01
3.260801587912128241e+01,3.400541590849362805e+00,3.753743590416430465e+01
3.261071392160215510e+01,3.312165254357408273e+00,3.752990697531264885e+01
3.261260398863635146e+01,3.234293143271611104e+00,3.752496469366089826e+01
3.262330027389620568e+01,3.159961565319606702e+00,3.752617560401839825e+01
3.264379893621113382e+01,3.050922009904530441e+00,3.752642675941513772e+01
3.263349105069990941e+01,2.962117925772593363e+00,3.753620674739367047e+01
3.265187583456914666e+01,2.897055977173698338e+00,3.753624444010260675e+01
3.266098781694155662e+01,2.807658055816595333e+00,3.752044885050415246e+01
3.266946170523528536e+01,2.733756939626927895e+00,3.753283105221309057e+01
3.266661677585108947e+01,2.625515633121171977e+00,3.752841508516405611e+01
3.266897184142656130e+01,2.548160364946595813e+00,3.752422539066575524e+01
3.269827575153507127e+01,2.453061075658971912e+00,3.752240552485116609e+01
3.268734361863469218e+01,2.374604489489089865e+00,3.753319045547533506e+01
3.269315289912314881e+01,2.296684778508301772e+00,3.753051783341091863e+01
3.270169240591954463e+01,2.201627135740614083e+00,3.752866384123002774e+01
3.271755006394574394e+01,2.133520487695210743e+00,3.752882733446453045e+01
3.270771049365316685e+01,2.047269750183406956e+00,3.752630603342196025e+01
3.271798693468460328e+01,1.946528406684455037e+00,3.753962489479581421e+01
3.272074394875185988e+01,1.861105394756843445e+00,3.752488877036682879e+01
3.271666036499678398e+01,1.785252521048641183e+00,3.752296793734736013e+01
3.272807367594948147e+01,1.683265072168648402e+00,3.753963819877552766e+01
3.273008137819312680e+01,1.616225724793200813e+00,3.752813593885114329e+01
3.273541258327398396e+01,1.500350253571913539e+00,3.752299632093131265e+01
3.274661272262172673e+01,1.447256291349546364e+00,3.752135368969460671e+01
3.273506333939959489e+01,1.353481269675657295e+00,3.752199254619085877e+01
3.276541537911972313e+01,1.265962980529116155e+00,3.752258599320476407e+01
3.274672987230113819e+01,1.178983684562250556e+00,3.751470169305971325e+01
3.276714571922924790e+01,1.091004628126332143e+00,3.753649973508617421e+01
3.276711475990209976e+01,1.013160650093898996e+00,3.751481841084156343e+01
