time (sec),ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
2.01830E+02,1.6718972937355500E+00,0.0000000000000000E+00,-7.4408295182709300E-01
2.01840E+02,1.6795902409361600E+00,0.0000000000000000E+00,-7.5138313965114700E-01
2.01850E+02,1.6872689116094000E+00,0.0000000000000000E+00,-7.5869863576812000E-01
2.01860E+02,1.6949333918324500E+00,0.0000000000000000E+00,-7.6602924046757600E-01
2.01870E+02,1.7025837679021200E+00,0.0000000000000000E+00,-7.7337475603760200E-01
2.01880E+02,1.7102201263195000E+00,0.0000000000000000E+00,-7.8073498674755600E-01
2.01890E+02,1.7178425537748900E+00,0.0000000000000000E+00,-7.8810973883092700E-01
2.01900E+02,1.7254511371329900E+00,0.0000000000000000E+00,-7.9549882046830900E-01
2.01910E+02,1.7330459634183900E+00,0.0000000000000000E+00,-8.0290204177048500E-01
2.01920E+02,1.7406271198013900E+00,0.0000000000000000E+00,-8.1031921476162800E-01
2.01930E+02,1.7481946935840500E+00,0.0000000000000000E+00,-8.1775015336260600E-01
2.01940E+02,1.7557487721865300E+00,0.0000000000000000E+00,-8.2519467337440200E-01
2.01950E+02,1.7632894431337400E+00,0.0000000000000000E+00,-8.3265259246163700E-01
2.01960E+02,1.7708167940422300E+00,0.0000000000000000E+00,-8.4012373013620600E-01
2.01970E+02,1.7783309126073500E+00,0.0000000000000000E+00,-8.4760790774101800E-01
2.01980E+02,1.7858318865906500E+00,0.0000000000000000E+00,-8.5510494843384900E-01
2.01990E+02,1.7933198038076400E+00,0.0000000000000000E+00,-8.6261467717129200E-01
2.02000E+02,1.8007947521156300E+00,0.0000000000000000E+00,-8.7013692069282400E-01
2.02010E+02,1.8082568194020300E+00,0.0000000000000000E+00,-8.7767150750497100E-01
2.02020E+02,1.8157060935727000E+00,0.0000000000000000E+00,-8.8521826786558400E-01
2.02030E+02,1.8231426625407000E+00,0.0000000000000000E+00,-8.9277703376821600E-01
2.02040E+02,1.8305666142151900E+00,0.0000000000000000E+00,-9.0034763892660700E-01
2.02050E+02,1.8379780364905800E+00,0.0000000000000000E+00,-9.0792991875927700E-01
2.02060E+02,1.8453770172359400E+00,0.0000000000000000E+00,-9.1552371037421500E-01
2.02070E+02,1.8527636442846400E+00,0.0000000000000000E+00,-9.2312885255368300E-01
2.02080E+02,1.8601380054241800E+00,0.0000000000000000E+00,-9.3074518573911700E-01
2.02090E+02,1.8675001883862500E+00,0.0000000000000000E+00,-9.3837255201613900E-01
2.02100E+02,1.8748502808370800E+00,0.0000000000000000E+00,-9.4601079509966300E-01
2.02110E+02,1.8821883703678700E+00,0.0000000000000000E+00,-9.5365976031911800E-01
2.02120E+02,1.8895145444855600E+00,0.0000000000000000E+00,-9.6131929460376800E-01
2.02130E+02,1.8968288906037600E+00,0.0000000000000000E+00,-9.6898924646813400E-01
2.02140E+02,1.9041314960338500E+00,0.0000000000000000E+00,-9.7666946599752100E-01
2.02150E+02,1.9114224479763300E+00,0.0000000000000000E+00,-9.8435980483365800E-01
2.02160E+02,1.9187018335123700E+00,0.0000000000000000E+00,-9.9206011616042300E-01
2.02170E+02,1.9259697395955300E+00,0.0000000000000000E+00,-9.9977025468969200E-01
2.02180E+02,1.9332262530436600E+00,0.0000000000000000E+00,-1.0074900766472700E+00
