time (sec),ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
2.42350E+02,3.2001716543102600E+01,1.2000138485440800E+02,1.7302398975921200E+02
2.42360E+02,3.2001716543906300E+01,1.2000138591267600E+02,1.7302401738737800E+02
2.42370E+02,3.2001716544705800E+01,1.2000138697094500E+02,1.7302404481847800E+02
2.42380E+02,3.2001716545501200E+01,1.2000138802921300E+02,1.7302407205354600E+02
2.42390E+02,3.2001716546292300E+01,1.2000138908748200E+02,1.7302409909361100E+02
2.42400E+02,3.2001716547079300E+01,1.2000139014575000E+02,1.7302412593969600E+02
2.42410E+02,3.2001716547862200E+01,1.2000139120401900E+02,1.7302415259282100E+02
2.42420E+02,3.2001716548640900E+01,1.2000139226228700E+02,1.7302417905399800E+02
2.42430E+02,3.2001716549415600E+01,1.2000139332055600E+02,1.7302420532423400E+02
2.42440E+02,3.2001716550186200E+01,1.2000139437882400E+02,1.7302423140453200E+02
2.42450E+02,3.2001716550952800E+01,1.2000139543709300E+02,1.7302425729588900E+02
2.42460E+02,3.2001716551715300E+01,1.2000139649536100E+02,1.7302428299929600E+02
2.42470E+02,3.2001716552473900E+01,1.2000139755363000E+02,1.7302430851574100E+02
2.42480E+02,3.2001716553228400E+01,1.2000139861189800E+02,1.7302433384620400E+02
2.42490E+02,3.2001716553979000E+01,1.2000139967016700E+02,1.7302435899166200E+02
2.42500E+02,3.2001716554725600E+01,1.2000140072843500E+02,1.7302438395308700E+02
2.42510E+02,3.2001716555468400E+01,1.2000140178670400E+02,1.7302440873144400E+02
2.42520E+02,3.2001716556207200E+01,1.2000140284497200E+02,1.7302443332769300E+02
2.42530E+02,3.2001716556942200E+01,1.2000140390324100E+02,1.7302445774279200E+02
2.42540E+02,3.2001716557673300E+01,1.2000140496150900E+02,1.7302448197769100E+02
2.42550E+02,3.2001716558400500E+01,1.2000140601977800E+02,1.7302450603333600E+02
2.42560E+02,3.2001716559124000E+01,1.2000140707804600E+02,1.7302452991066800E+02
2.42570E+02,3.2001716559843600E+01,1.2000140813631500E+02,1.7302455361062200E+02
2.42580E+02,3.2001716560559500E+01,1.2000140919458300E+02,1.7302457713413100E+02
2.42590E+02,3.2001716561271600E+01,1.2000141025285200E+02,1.7302460048211900E+02
2.42600E+02,3.2001716561979900E+01,1.2000141131112000E+02,1.7302462365551000E+02
2.42610E+02,3.2001716562684600E+01,1.2000141236938900E+02,1.7302464665521800E+02
2.42620E+02,3.2001716563385500E+01,1.2000141342765700E+02,1.7302466948215700E+02
2.42630E+02,3.2001716564082800E+01,1.2000141448592600E+02,1.7302469213723200E+02
2.42640E+02,3.2001716564776400E+01,1.2000141554419400E+02,1.7302471462134500E+02
2.42650E+02,3.2001716565466400E+01,1.2000141660246300E+02,1.7302473693539600E+02
2.42660E+02,3.2001716566152800E+01,1.2000141766073200E+02,1.7302475908027500E+02
2.42670E+02,3.2001716566835500E+01,1.2000141871900000E+02,1.7302478105687100E+02
2.42680E+02,3.2001716567514700E+01,1.2000141977726900E+02,1.7302480286606800E+02
2.42690E+02,3.2001716568190300E+01,1.2000142083553700E+02,1.7302482450874400E+02
2.42700E+02,3.2001716568862300E+01,1.2000142189380600E+02,1.7302484598577300E+02
2.42710E+02,3.2001716569530800E+01,1.2000142295207400E+02,1.7302486729802500E+02
2.42720E+02,3.2001716570195800E+01,1.2000142401034300E+02,1.7302488844636500E+02
2.42730E+02,3.2001716570857400E+01,1.2000142506861200E+02,1.7302490943165300E+02
2.42740E+02,3.2001716571515400E+01,1.2000142612688000E+02,1.7302493025474600E+02
2.42750E+02,3.2001716572170000E+01,1.2000142718514900E+02,1.7302495091649300E+02
2.42760E+02,3.2001716572821200E+01,1.2000142824341700E+02,1.7302497141774400E+02
