accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
3.683169860502679121e-03,-2.114409268786449081e-03,-9.786518717617100904e+00
2.221893219710514063e-03,-1.304497276478676533e-02,-9.798675283284474347e+00
-5.525024663203303814e-03,6.185090502016590700e-04,-9.796416727687363490e+00
-3.830139298728983590e-03,4.348519305556357469e-03,-9.798008938920107269e+00
4.826027676548338497e-04,7.531060828760063192e-03,-9.805626111967645997e+00
-3.422075142661301292e-03,-2.682588099416472523e-03,-9.786813354740251825e+00
-1.542387603573929216e-03,9.419215580513959699e-03,-9.796452649241565780e+00
3.795239223697876359e-03,1.624425157440631583e-03,-9.812466780122980126e+00
3.760551782567267062e-03,-4.231943987255935152e-03,-9.804126752461788996e+00
3.279774097927618329e-03,-1.988068798434744489e-03,-9.798483126275904453e+00
